@RELATION stuff

@ATTRIBUTE date string
@ATTRIBUTE airtemp numeric
@ATTRIBUTE windspeed numeric
@ATTRIBUTE windgust numeric
@ATTRIBUTE winddir numeric
@ATTRIBUTE precipitation numeric
@ATTRIBUTE visibility numeric
@ATTRIBUTE storm_status {S,R,T,N}
@ATTRIBUTE coach {H,R,M,A,C}
@ATTRIBUTE practice_status {OTW, CT}

@DATA
5/10/2018,10.8,5.5,6.1,082,0.00,10,N,M,OTW
5/14/2018,17.1,6.8,7.2,018,1.72,6,T,R,CT
5/15/2018,8.8,9.5,10.5,350,0.0,7,N,H,OTW
5/16/2018,12.6,1.2,1.4,025,0.0,10,N,H,OTW
5/17/2018,7.7,10.2,10.8,352,0.0,10,N,H,OTW
5/21/2018,11.6,2.4,3.0,098,0.0,10,R,H,CT
5/22/2018,9.5,2.7,3.0,007,0.0,10,N,H,OTW
5/23/2018,15.7,3.7,3.7,087,0.0,9,N,H,OTW
5/24/2018,23.4,8.6,8.6,100,0.0,10,N,H,OTW
5/30/2018,19.9,1.9,2.7,060,0.21,9,T,H,CT
